country,year,iso_code,ann_income_pc_growth_pct,gdp_pc_usd,life_expectancy_years,population_total,gdp_pc_rank,population_rank,ann_income_pc_growth_pct_rolling_3yr,gdp_pc_usd_yoy_pct,life_expectancy_years_yoy_pct,population_total_yoy_pct
Australia,2024,AUS,,64407.484256932,83.0512195121951,27204809,3.0,11.0,,-0.6607999372627127,0.0,2.0711988097900536
Canada,2024,CAN,8.19911224800659,54282.6176051733,81.6465853658537,41288599,4.0,10.0,8.19911224800659,0.11488145296134622,0.0,3.0065126075368154
China,2024,CHN,6.79437074751952,13303.1481543868,77.953,1408975000,11.0,1.0,6.79437074751952,2.7176671355156445,0.0,-0.12298771540572018
European Union,2024,EUU,5.70835483921445,43145.1566930223,81.4114503796875,450185396,8.0,2.0,5.70835483921445,4.235309147851085,0.0,0.16897799841182337
Finland,2024,FIN,3.73897949789652,53188.6186245158,81.6853658536585,5637214,6.0,12.0,3.73897949789652,0.6949956191660833,0.0,0.9545818334138811
Germany,2024,DEU,2.50285421951435,55800.2194549412,80.5414634146342,83510950,5.0,5.0,2.50285421951435,3.4479014930467455,0.0,-0.46598812759035546
Italy,2024,ITA,6.7474771304898,40226.0472416173,83.7,58986023,9.0,8.0,6.7474771304898,2.970971957411317,0.0,-0.012631905477678007
"Korea, Rep.",2024,KOR,3.25852998449514,33121.3712885508,83.4292682926829,51751065,10.0,9.0,3.25852998449514,0.0,0.0,0.07434549002440782
Pakistan,2024,PAK,5.84747033829215,1484.74985864775,67.649,251269164,13.0,4.0,5.84747033829215,8.759396128071351,0.0,1.5210507590983413
Qatar,2024,QAT,-17.0638679523866,76275.9076782833,82.368,2857822,2.0,13.0,-17.0638679523866,-4.887990797079988,0.0,7.597423525017777
South Africa,2024,ZAF,5.20238575878456,6253.37158194543,66.139,64007187,12.0,7.0,5.20238575878456,3.832750676566632,0.0,1.2573533059597963
United Kingdom,2024,GBR,0.339850376019996,52636.7865943853,81.2380975609756,69226000,7.0,6.0,0.339850376019996,6.983576959632876,0.0,1.0716580038544699
United States,2024,USA,5.33686657523864,85809.9003846356,78.3853658536585,340110988,1.0,3.0,5.33686657523864,4.258910300723406,0.0,0.981204234312405
