country,iso_code,year,ann_income_pc_growth_pct,gdp_pc_usd,life_expectancy_years,population_total,gdp_pc_rank,population_rank,ann_income_pc_growth_pct_rolling_3yr,gdp_pc_usd_yoy_pct,life_expectancy_years_yoy_pct,population_total_yoy_pct
Australia,AUS,2015,,56739.0265346593,82.4,23815995,3.0,11.0,,,,
Australia,AUS,2016,,49888.0410842736,82.4487804878049,24190907,3.0,11.0,,-12.074555854779678,0.05919962112244104,1.5742025474896115
Australia,AUS,2017,,53901.7145392154,82.5,24592588,3.0,11.0,,8.04536190980456,0.06212282570108307,1.6604627515619752
Australia,AUS,2018,,57196.4220783778,82.7487804878049,24963258,3.0,11.0,,6.112435508457503,0.3015521064301696,1.5072427513525666
Australia,AUS,2019,,54972.7017885437,82.9,25334826,3.0,11.0,,-3.88786607453675,0.18274530609838635,1.4884595592450367
Australia,AUS,2020,,51791.540179984,83.2,25649248,3.0,11.0,,-5.786802367466426,0.3618817852834688,1.2410663487485651
Australia,AUS,2021,,60607.7788605166,83.3,25685412,3.0,11.0,,17.022545863464856,0.12019230769229061,0.14099438704791023
Australia,AUS,2022,,64997.0136536475,83.2,26014399,3.0,11.0,,7.242032088376527,-0.12004801920767472,1.2808320925512096
Australia,AUS,2023,,64835.9199754535,83.0512195121951,26652777,3.0,11.0,,-0.24784781505874376,-0.17882270168858572,2.453940988604031
Australia,AUS,2024,,64407.484256932,83.0512195121951,27204809,3.0,11.0,,-0.6607999372627127,0.0,2.0711988097900536
Canada,CAN,2015,-3.13572887002684,43594.1941045394,81.8258536585366,35704498,4.0,10.0,-3.13572887002684,,,
Canada,CAN,2016,-0.548718817744401,42314.0615817218,81.94,36110803,4.0,10.0,-1.8422238438856207,-2.9364747969599536,0.13949911471713428,1.1379658663734693
Canada,CAN,2017,3.89682709187218,45129.628116623,81.8129268292683,36545075,4.0,10.0,0.07079313470031294,6.653973713829031,-0.15508075510335395,1.2026096456509094
Canada,CAN,2018,0.869088412966263,46539.1761570405,81.8087804878049,37072620,4.0,10.0,1.4057322290313472,3.1233318315297964,-0.005068076188086135,1.4435460865793726
Canada,CAN,2019,0.396326252053797,46352.8693445211,82.1636585365854,37618495,4.0,10.0,1.7207472522974134,-0.40032254092923214,0.4337896820664655,1.4724478604425606
Canada,CAN,2020,-8.42439257665221,43537.839298904,81.5351219512195,38028638,4.0,10.0,-2.38632597054405,-6.073043773610188,-0.7649812539518797,1.0902695602256207
Canada,CAN,2021,8.19911224800659,52886.6616372703,81.5168292682927,38239864,4.0,10.0,0.057015307802725936,21.47286702535476,-0.022435341346205284,0.555439298141569
Canada,CAN,2022,8.19911224800659,56256.8007264015,81.2453658536585,38935934,4.0,10.0,2.657943973120324,6.372380076181994,-0.33301517867033725,1.8202732101766816
Canada,CAN,2023,8.19911224800659,54220.3285039875,81.6465853658537,40083484,4.0,10.0,8.19911224800659,-3.6199574026936854,0.4938367966954349,2.9472774429913473
Canada,CAN,2024,8.19911224800659,54282.6176051733,81.6465853658537,41288599,4.0,10.0,8.19911224800659,0.11488145296134622,0.0,3.0065126075368154
China,CHN,2015,6.50860615314738,8175.33285077393,76.975,1379860000,11.0,1.0,6.50860615314738,,,
China,CHN,2016,6.44313876938401,8254.86859320357,77.214,1387790000,11.0,1.0,6.475872461265695,0.9728746692204693,0.310490418967202,0.5746959836505194
China,CHN,2017,6.39337333642158,8979.67652709856,77.235,1396215000,11.0,1.0,6.448372752984323,8.780369132607891,0.027197140414947363,0.607080321950737
China,CHN,2018,3.657695972341,10085.6638148819,77.709,1402760000,11.0,1.0,5.498069359382197,12.316560451211455,0.6137114002719102,0.46876734600329595
China,CHN,2019,4.20316870636445,10342.9009524335,77.94,1407745000,11.0,1.0,4.7514126717090095,2.5505226257098945,0.297262865305159,0.35537084034331645
China,CHN,2020,0.0845036471430518,10627.4637989619,78.019,1411100000,11.0,1.0,2.6484561086161675,2.751286586201407,0.10136002052862914,0.23832441244686642
China,CHN,2021,6.79437074751952,12887.4357242941,78.117,1412360000,11.0,1.0,3.6940143670090073,21.265392835804864,0.12561042822902824,0.08929204166960858
China,CHN,2022,6.79437074751952,12970.6056414327,78.202,1412175000,11.0,1.0,4.5577483807273635,0.6453566009397393,0.10881114226095612,-0.013098643405362598
China,CHN,2023,6.79437074751952,12951.1782397043,77.953,1410710000,11.0,1.0,6.79437074751952,-0.14978022048824924,-0.3184061788701009,-0.10374068369712885
China,CHN,2024,6.79437074751952,13303.1481543868,77.953,1408975000,11.0,1.0,6.79437074751952,2.7176671355156445,0.0,-0.12298771540572018
European Union,EUU,2015,2.580494137427,30769.090644109,80.5708966220669,443793218,8.0,2.0,2.580494137427,,,
European Union,EUU,2016,2.47190191767015,31462.4341209885,80.9530808081627,444676652,8.0,2.0,2.526198027548575,2.253376561884979,0.47434520666749247,0.19906433090195463
European Union,EUU,2017,2.46581813066112,33391.9679020533,80.9303097853099,445321060,8.0,2.0,2.5060713952527567,6.1328178666812505,-0.028128667402738117,0.1449160861272336
European Union,EUU,2018,1.76387167527288,36054.3954466385,81.0317510064821,446329890,8.0,2.0,2.23386390786805,7.9732573785251,0.1253439180466387,0.2265399260479528
European Union,EUU,2019,1.57157592733522,35374.6443827131,81.3194524901834,446910453,8.0,2.0,1.9337552444230734,-1.8853486669370034,0.3550478425158099,0.13007486458054274
European Union,EUU,2020,-6.84495572259377,34698.4032089427,80.4414754678551,446870959,8.0,2.0,-1.1698360399952235,-1.9116550443708968,-1.0796642075698748,-0.00883711708573598
European Union,EUU,2021,5.70835483921445,39214.3660784805,80.3071964400875,446227358,8.0,2.0,0.1449916813186333,13.014901124827327,-0.16692760418257624,-0.14402390377755703
European Union,EUU,2022,5.70835483921445,37962.8295010744,80.7129818383208,447703403,8.0,2.0,1.5239179852783764,-3.1915257150947673,0.5052914511043172,0.33078316995525103
European Union,EUU,2023,5.70835483921445,41392.0743803078,81.4114503796875,449425965,8.0,2.0,5.70835483921445,9.033164609440792,0.8653732342162934,0.384755172388096
European Union,EUU,2024,5.70835483921445,43145.1566930223,81.4114503796875,450185396,8.0,2.0,5.70835483921445,4.235309147851085,0.0,0.16897799841182337
Finland,FIN,2015,1.63635503276308,42560.3456767103,81.4804878048781,5479531,6.0,12.0,1.63635503276308,,,
Finland,FIN,2016,2.19363929411429,43451.2562442158,81.4292682926829,5495303,6.0,12.0,1.9149971634386849,2.0932879029528673,-0.0628610770198712,0.2878348530193531
Finland,FIN,2017,2.57820307527371,46085.0174739036,81.6317073170732,5508214,6.0,12.0,2.136065800717027,6.06141561220892,0.2486072006230744,0.23494609851357762
Finland,FIN,2018,1.58775883534501,49654.2497035329,81.7341463414634,5515525,6.0,12.0,2.119867068244337,7.744886354118097,0.12548925871698202,0.13272904792733797
Finland,FIN,2019,0.619697735907437,48358.1807773701,81.9829268292683,5521606,6.0,12.0,1.595219882175386,-2.6101873130721875,0.3043776670347276,0.1102524238399738
Finland,FIN,2020,-1.23000802956454,48828.6846862799,81.9317073170732,5529543,6.0,12.0,0.3258161805626359,0.9729561810356113,-0.06247582780467553,0.14374441059359366
Finland,FIN,2021,3.73897949789652,53099.1351400148,81.8853658536585,5541017,6.0,12.0,1.0428897347464725,8.745782281812776,-0.056561085972939296,0.2075035857393548
Finland,FIN,2022,3.73897949789652,50440.560224974,81.1878048780488,5556106,6.0,12.0,2.082650322076167,-5.006813967930968,-0.8518750186160884,0.2723146310505742
Finland,FIN,2023,3.73897949789652,52821.5114340717,81.6853658536585,5583911,6.0,12.0,3.73897949789652,4.720310794484095,0.612851864091013,0.5004404163635456
Finland,FIN,2024,3.73897949789652,53188.6186245158,81.6853658536585,5637214,6.0,12.0,3.73897949789652,0.6949956191660833,0.0,0.9545818334138811
Germany,DEU,2015,2.00194278160572,41911.0109851054,80.6414634146341,81686611,5.0,5.0,2.00194278160572,,,
Germany,DEU,2016,2.39238391603813,42961.0356905775,80.990243902439,82348669,5.0,5.0,2.197163348821925,2.505367159587868,0.43250763693558625,0.8104853315557436
Germany,DEU,2017,1.93451081492235,45526.5999576533,80.9926829268293,82657002,5.0,5.0,2.1096125041887333,5.971839891277342,0.0030115039451272807,0.3744237809113926
Germany,DEU,2018,1.26805901040905,48874.8595028454,80.8926829268293,82905782,5.0,5.0,1.86498458045651,7.354512632848698,-0.12346794350589496,0.30097873619949755
