country,iso_code,year,ann_income_pc_growth_pct,gdp_pc_usd,life_expectancy_years,population_total
Australia,AUS,2015,,56739.0265346593,82.4,23815995
Australia,AUS,2016,,49888.0410842736,82.4487804878049,24190907
Australia,AUS,2017,,53901.7145392154,82.5,24592588
Australia,AUS,2018,,57196.4220783778,82.7487804878049,24963258
Australia,AUS,2019,,54972.7017885437,82.9,25334826
Australia,AUS,2020,,51791.540179984,83.2,25649248
Australia,AUS,2021,,60607.7788605166,83.3,25685412
Australia,AUS,2022,,64997.0136536475,83.2,26014399
Australia,AUS,2023,,64835.9199754535,83.0512195121951,26652777
Australia,AUS,2024,,64407.484256932,83.0512195121951,27204809
Canada,CAN,2015,-3.13572887002684,43594.1941045394,81.8258536585366,35704498
Canada,CAN,2016,-0.548718817744401,42314.0615817218,81.94,36110803
Canada,CAN,2017,3.89682709187218,45129.628116623,81.8129268292683,36545075
Canada,CAN,2018,0.869088412966263,46539.1761570405,81.8087804878049,37072620
Canada,CAN,2019,0.396326252053797,46352.8693445211,82.1636585365854,37618495
Canada,CAN,2020,-8.42439257665221,43537.839298904,81.5351219512195,38028638
Canada,CAN,2021,8.19911224800659,52886.6616372703,81.5168292682927,38239864
Canada,CAN,2022,8.19911224800659,56256.8007264015,81.2453658536585,38935934
Canada,CAN,2023,8.19911224800659,54220.3285039875,81.6465853658537,40083484
Canada,CAN,2024,8.19911224800659,54282.6176051733,81.6465853658537,41288599
China,CHN,2015,6.50860615314738,8175.33285077393,76.975,1379860000
China,CHN,2016,6.44313876938401,8254.86859320357,77.214,1387790000
China,CHN,2017,6.39337333642158,8979.67652709856,77.235,1396215000
China,CHN,2018,3.657695972341,10085.6638148819,77.709,1402760000
China,CHN,2019,4.20316870636445,10342.9009524335,77.94,1407745000
China,CHN,2020,0.0845036471430518,10627.4637989619,78.019,1411100000
China,CHN,2021,6.79437074751952,12887.4357242941,78.117,1412360000
China,CHN,2022,6.79437074751952,12970.6056414327,78.202,1412175000
China,CHN,2023,6.79437074751952,12951.1782397043,77.953,1410710000
China,CHN,2024,6.79437074751952,13303.1481543868,77.953,1408975000
European Union,EUU,2015,2.580494137427,30769.090644109,80.5708966220669,443793218
European Union,EUU,2016,2.47190191767015,31462.4341209885,80.9530808081627,444676652
European Union,EUU,2017,2.46581813066112,33391.9679020533,80.9303097853099,445321060
European Union,EUU,2018,1.76387167527288,36054.3954466385,81.0317510064821,446329890
European Union,EUU,2019,1.57157592733522,35374.6443827131,81.3194524901834,446910453
European Union,EUU,2020,-6.84495572259377,34698.4032089427,80.4414754678551,446870959
European Union,EUU,2021,5.70835483921445,39214.3660784805,80.3071964400875,446227358
European Union,EUU,2022,5.70835483921445,37962.8295010744,80.7129818383208,447703403
European Union,EUU,2023,5.70835483921445,41392.0743803078,81.4114503796875,449425965
European Union,EUU,2024,5.70835483921445,43145.1566930223,81.4114503796875,450185396
Finland,FIN,2015,1.63635503276308,42560.3456767103,81.4804878048781,5479531
Finland,FIN,2016,2.19363929411429,43451.2562442158,81.4292682926829,5495303
Finland,FIN,2017,2.57820307527371,46085.0174739036,81.6317073170732,5508214
Finland,FIN,2018,1.58775883534501,49654.2497035329,81.7341463414634,5515525
Finland,FIN,2019,0.619697735907437,48358.1807773701,81.9829268292683,5521606
Finland,FIN,2020,-1.23000802956454,48828.6846862799,81.9317073170732,5529543
Finland,FIN,2021,3.73897949789652,53099.1351400148,81.8853658536585,5541017
Finland,FIN,2022,3.73897949789652,50440.560224974,81.1878048780488,5556106
Finland,FIN,2023,3.73897949789652,52821.5114340717,81.6853658536585,5583911
Finland,FIN,2024,3.73897949789652,53188.6186245158,81.6853658536585,5637214
Germany,DEU,2015,2.00194278160572,41911.0109851054,80.6414634146341,81686611
Germany,DEU,2016,2.39238391603813,42961.0356905775,80.990243902439,82348669
Germany,DEU,2017,1.93451081492235,45526.5999576533,80.9926829268293,82657002
Germany,DEU,2018,1.26805901040905,48874.8595028454,80.8926829268293,82905782
Germany,DEU,2019,0.726939638167096,47623.8656074829,81.2926829268293,83092962
Germany,DEU,2020,-4.77153153809168,47379.765194548,81.0414634146342,83160871
Germany,DEU,2021,2.50285421951435,52265.6541620571,80.790243902439,83196078
Germany,DEU,2022,2.50285421951435,49686.1154582583,80.6080487804878,83797985
Germany,DEU,2023,2.50285421951435,53940.4073447462,80.5414634146342,83901923
Germany,DEU,2024,2.50285421951435,55800.2194549412,80.5414634146342,83510950
Italy,ITA,2015,0.955588889397944,30639.8829751432,82.5439024390244,60229605
Italy,ITA,2016,3.84349470653598,31391.5692898108,83.2439024390244,60115223
Italy,ITA,2017,1.83816590757996,32844.115660604,82.9463414634147,60002252
Italy,ITA,2018,1.19018990320427,34904.1081923834,83.3463414634146,60148658
Italy,ITA,2019,0.914853921636364,33812.788724868,83.4975609756098,59729081
Italy,ITA,2020,-9.0016933631078,32091.4866621366,82.1951219512195,59438851
Italy,ITA,2021,6.7474771304898,36852.5425414951,82.6463414634146,59133173
Italy,ITA,2022,6.7474771304898,35653.9042103495,82.7,59013667
Italy,ITA,2023,6.7474771304898,39065.4244365633,83.7,58993475
Italy,ITA,2024,6.7474771304898,40226.0472416173,83.7,58986023
"Korea, Rep.",KOR,2015,5.31438201700981,28737.4391706499,82.0243902439024,51014947
"Korea, Rep.",KOR,2016,3.72508920924051,29280.4403170048,82.2756097560976,51217803
"Korea, Rep.",KOR,2017,3.30557229901632,31600.7358741365,82.6268292682927,51361911
"Korea, Rep.",KOR,2018,0.615888135460779,33447.1562836166,82.6268292682927,51585058
"Korea, Rep.",KOR,2019,-1.12225964796505,31902.4169048194,83.2268292682927,51764822
"Korea, Rep.",KOR,2020,-1.37854553150645,31721.2989141857,83.4268292682927,51836239
"Korea, Rep.",KOR,2021,3.25852998449514,35125.5224984723,83.5268292682927,51769539
"Korea, Rep.",KOR,2022,3.25852998449514,32394.6833725203,82.6804878048781,51672569
"Korea, Rep.",KOR,2023,3.25852998449514,33121.3712885508,83.4292682926829,51712619
"Korea, Rep.",KOR,2024,3.25852998449514,33121.3712885508,83.4292682926829,51751065
Pakistan,PAK,2015,3.90330429189187,1380.47020838317,65.641,217290883
Pakistan,PAK,2016,18.4566552663783,1424.69161195897,65.943,220138869
Pakistan,PAK,2017,3.59469903673697,1519.23459514248,66.223,223273967
Pakistan,PAK,2018,4.07954355923709,1569.33814626355,66.481,226928892
Pakistan,PAK,2019,1.04037439162519,1390.41690981745,66.729,230800899
